dataset,category,case,vertices,triangulations,median_time,mad_time,min_time,max_time,n_runs,median_time_per_tri,mad_time_per_tri,median_tri_per_sec,mad_tri_per_sec,median_avg_time_per_tri,median_mem,median_mem_per_vertex,time_limit_frac,any_time_limit,median_unsuccessful_check_pct,median_check_success_rate,median_total_checks,median_successful_checks,median_failed_checks,median_checks_ratio,median_invalid_traversal_pct,median_traversal_success_rate
results-without-vgs,1_triangulation_subdivide_1,case_019.txt,19,462055325.0,360.040421175,0.01097959741616538,360.020673348,360.047826812,5,7.792238784175899e-07,1.8873241214607495e-09,1283328.2291486645,3103.2236557842134,7.792149591068992e-07,,,1.0,True,28.280819431735267,71.72,644264260.0,462055324.0,182208936.0,1.3943271410472493,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_020.txt,19,476152822.0,360.008660339,0.007325452469986749,360.003489699,360.043420022,5,7.560883494858295e-07,2.826736998172442e-09,1322596.7582757229,4957.204589493111,7.560779726702954e-07,,,1.0,True,26.656496643457505,73.34,649209269.0,476152822.0,173056447.0,1.3634472778573599,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_022.txt,19,479867187.0,360.024073993,0.027615991380575484,360.004430308,360.047381868,5,7.502516451725643e-07,1.0658076347664461e-09,1332886.1141917142,1891.685697477595,7.502577457812301e-07,,,1.0,True,19.38645072303413,80.61,595268043.0,479867187.0,115400856.0,1.2404862569247217,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_034.txt,23,484924755.0,360.016282001,0.013174307987383792,360.007396052,360.044916673,5,7.424377289647752e-07,1.0294212649960282e-09,1346914.3080785498,1865.8086467456717,7.424167941292253e-07,,,1.0,True,17.157146894749506,82.84,585339408.0,484924754.0,100414654.0,1.2071047320515582,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_016.txt,19,489335402.0,360.01443057,0.01473513737637961,360.004491856,360.050454893,5,7.357948217549974e-07,3.811690572890573e-09,1359074.5278892121,7065.197637253577,7.357212028775306e-07,,,1.0,True,28.809557896127565,71.19,687344397.0,489335401.0,198008996.0,1.4046829468215996,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_035.txt,24,490597495.0,360.040103032,0.009199332849043378,360.016956392,360.046307897,5,7.338808426488194e-07,2.529062428791965e-09,1362619.027348729,4684.898080036812,7.338808426488194e-07,,,1.0,True,15.292997011141544,84.71,579169977.0,490597494.0,88572483.0,1.1805399373314274,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_026.txt,20,500841468.0,360.0352066,0.020039118120039143,360.009163618,360.0487228,5,7.188793546623819e-07,1.8821024907098923e-09,1391053.9974675514,3648.3696999068757,7.188606167890236e-07,,,1.0,True,20.477806054219812,79.52,629855857.0,500841468.0,129014389.0,1.2575105770872215,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_025.txt,20,505770824.0,360.023234904,0.01320242104860282,360.012518994,360.034204793,5,7.118095823455408e-07,6.301648881218556e-10,1404870.1012212,1244.4743425728202,7.118307696293687e-07,,,1.0,True,21.165855236025152,78.83,641563152.0,505770824.0,135792328.0,1.2684858864061324,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_012.txt,18,513604396.0,360.026496283,0.012605744230729783,360.011967753,360.046640402,5,7.009518815586618e-07,8.120325471559252e-10,1426631.4511865836,1654.0038104246448,7.009801689528373e-07,,,1.0,True,23.866100294199565,76.13,674606710.0,513604396.0,161002314.0,1.3134753426059071,0.0,100.0
results-without-vgs,1_triangulation_subdivide_1,case_021.txt,19,526009788.0,360.011959724,0.005212155912630953,360.008444173,360.031548721,5,6.844206475564672e-07,1.6327178301553747e-09,1461089.7604714597,3491.1160471879916,6.844206475564672e-07,,,1.0,True,21.314583416152807,78.69,668497175.0,526009787.0,142487388.0,1.2708835301575863,0.0,100.0
